GEO_ID,id,,,,Names of Columns
DP05_0002E,Estimate,SEX AND AGE,Total population,,Male
DP05_0003E,Estimate,SEX AND AGE,Total population,,Female
DP05_0005E,Estimate,SEX AND AGE,Total population,,Under 5 years
DP05_0006E,Estimate,SEX AND AGE,Total population,,5 to 9 years
DP05_0007E,Estimate,SEX AND AGE,Total population,,10 to 14 years
DP05_0008E,Estimate,SEX AND AGE,Total population,,15 to 19 years
DP05_0009E,Estimate,SEX AND AGE,Total population,,20 to 24 years
DP05_0010E,Estimate,SEX AND AGE,Total population,,25 to 34 years
DP05_0011E,Estimate,SEX AND AGE,Total population,,35 to 44 years
DP05_0012E,Estimate,SEX AND AGE,Total population,,45 to 54 years
DP05_0013E,Estimate,SEX AND AGE,Total population,,55 to 59 years
DP05_0014E,Estimate,SEX AND AGE,Total population,,60 to 64 years
DP05_0015E,Estimate,SEX AND AGE,Total population,,65 to 74 years
DP05_0016E,Estimate,SEX AND AGE,Total population,,75 to 84 years
DP05_0017E,Estimate,SEX AND AGE,Total population,,85 years and over
DP05_0037E,Estimate,RACE,Total population,,White
DP05_0038E,Estimate,RACE,Total population,,Black or African American
DP05_0039E,Estimate,RACE,Total population,,American Indian and Alaska Native
DP05_0045E,Estimate,RACE,Total population,,Asian Indian
DP05_0046E,Estimate,RACE,Total population,,Chinese
DP05_0047E,Estimate,RACE,Total population,,Filipino
DP05_0048E,Estimate,RACE,Total population,,Japanese
DP05_0049E,Estimate,RACE,Total population,,Korean
DP05_0050E,Estimate,RACE,Total population,,Vietnamese
DP05_0051E,Estimate,RACE,Total population,,Other Asian
DP05_0052E,Estimate,RACE,Total population,,Other Pacific Islander 
DP05_0057E,Estimate,RACE,Total population,,Other race
DP05_0058E,Estimate,RACE,Total population,,Mix Race
DP05_0071E,Estimate,HISPANIC OR LATINO AND RACE,Total population,,Hispanic or Latino (of any race)
