Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
5908,Lakeside Heart Clinic,HOSP-EC,Hospital Extension Clinic,8/17/1995,177 W Fourth Street,,Oswego,New York,13126,1312600000,,,37,Oswego,3,Central New York Regional Office,Oswego Hospital,727,3702000H,Oswego Hospital Inc,110 West Sixth Street,,Oswego,New York,13126,,,,,New York,,Not for Profit Corporation,43.453259,-76.512978,"(43.453259, -76.512978)"
1599,VillageCare Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,1/1/1901,214 West Houston Street,,New York,New York,10014,2122061493,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002335N,Village Center for Care,"120 Broadway, Suite 2840",,New York,New York,10271,"Village Care of New York, Inc.","120 Broadway, Suite 2840",,New York,New York,10271,Not for Profit Corporation,40.728577,-74.004524,"(40.728577, -74.004524)"
4627,West Side High School,,School Based Diagnostic and Treatment Center Extension Clinic,7/1/1992,140 West 102nd Street,,New York,New York,10025,2122167917,,,7093,New York,5,Metropolitan Area Regional Office - New York City,William F Ryan Community Health Center Inc,1529,7002243R,William F Ryan Community Health Center Inc,110 West 97th Street,,New York,New York,10025,,,,,New York,,Not for Profit Corporation,40.797367,-73.966492,"(40.797367, -73.966492)"
6859,HSS Integrative Care Center,HOSP-EC,Hospital Extension Clinic,4/24/2001,635 Madison Avenue,,New York,New York,10017,2122247900,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Hospital for Special Surgery,1447,7002012H,NY Society for the Relief of The Ruptured & Crippled,535 East 70th St,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.763859,-73.971138,"(40.763859, -73.971138)"
6342,Charles B Wang Comm Health Care Center,DTC-EC,Diagnostic and Treatment Center Extension Clinic,2/19/2002,268 Canal St,,New York,New York,10013,2122268866,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Charles B Wang Community Health Center Inc,1494,7002107R,Chinatown Action for Progress Inc,89 Baxter Street,,New York,New York,10013,,,,,New York,,Not for Profit Corporation,40.718872,-74.001251,"(40.718872, -74.001251)"
1494,Charles B Wang Community Health Center Inc,DTC,Diagnostic and Treatment Center,9/27/1979,125 Walker Street,,New York,New York,10013,2122268866,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002107R,Chinatown Action for Progress Inc,89 Baxter Street,,New York,New York,10013,,,,,New York,,Not for Profit Corporation,40.717232,-73.999359,"(40.717232, -73.999359)"
6398,Betances Health Center at Henry Street Settlement,DTC-EC,Diagnostic and Treatment Center Extension Clinic,5/14/2002,40 Montgomery Street,,New York,New York,10002,2122278401,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Betances Health Center,1503,7002208R,Betances Health Center,280 Henry Street,,New York,New York,10002,,,,,New York,,Not for Profit Corporation,40.712601,-73.98513,"(40.712601, -73.98513)"
1503,Betances Health Center,DTC,Diagnostic and Treatment Center,1/1/1901,280 Henry Street,,New York,New York,10002,2122278401,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002208R,Betances Health Center,280 Henry Street,,New York,New York,10002,,,,,New York,,Not for Profit Corporation,40.713905,-73.983505,"(40.713905, -73.983505)"
4879,J. H. S. 22,,School Based Diagnostic and Treatment Center Extension Clinic,4/7/1993,111 Columbia Street,,New York,New York,10002,2122284629,,,7093,New York,5,Metropolitan Area Regional Office - New York City,Betances Health Center,1503,7002208R,Betances Health Center,280 Henry Street,,New York,New York,10002,,,,,New York,,Not for Profit Corporation,40.718117,-73.979759,"(40.718117, -73.979759)"
9490,Manhattan Surgery Center,DTC,Diagnostic and Treatment Center,4/1/2013,619 West 54th Street,,New York,New York,10019,2122317778,2125811870,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002199R,"Roosevelt Surgery Center, LLC","619 West 54th Street, Suite 602",,New York,New York,10019,,,,,New York,,LLC,40.769203,-73.994598,"(40.769203, -73.994598)"
