BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,376,43,,S1,743 EAST 6TH STREET,,10009,1,1,2,"2,090","3,680",1940,1,S1,"3,200,000",7/24/19
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,400,19,,A4,526 EAST 5TH STREET,,10009,1,0,1,"1,883","5,200",1900,1,A4,"6,100,000",12/3/18
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,"1,510","4,520",1900,1,B9,0,7/22/19
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,"1,510","4,520",1900,1,B9,0,11/29/18
1,ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,404,1,,B9,166 AVENUE A,,10009,2,0,2,"1,510","4,520",1900,1,B9,0,11/29/18
1,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,377,56,,C0,263 EAST 7TH STREET,,10009,3,0,3,"2,430","3,600",1899,1,C0,"6,300,000",4/30/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,372,23,,C1,300 EAST 3RD STREET,,10009,12,0,12,"2,393","7,989",2001,2,C1,"1,950,000",8/8/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,373,19,,C7,332 EAST 4TH STREET,,10009,28,2,30,"4,651","17,478",1920,2,C7,"14,000,000",1/9/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,50,,C2,"275 EAST 7TH STREET, 3",,10009,5,0,5,"2,169","6,294",1900,2,C2,"1,175,000",8/6/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,377,50,,C2,"275 EAST 7TH STREET, GD",,10009,5,0,5,"2,169","6,294",1900,2,C2,"872,500",1/25/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,379,25,,C7,"434 EAST 10TH STREET, 4",,10009,7,1,8,"4,337","14,347",1920,2,C7,"1,550,000",5/22/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,379,37,,C7,133 AVENUE D,,10009,20,2,22,"3,481","14,588",1930,2,C7,"8,300,000",12/10/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,384,16,,C4,223 EAST 2ND ST,,10009,6,1,7,"2,165","15,185",1900,2,C4,0,1/16/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,385,2,,C7,21-23 AVENUE B,,10009,12,4,16,"4,186","10,588",1900,2,C7,"10,350,000",9/7/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,387,119,,C7,620 EAST 6TH STREET,,10009,22,2,24,"3,445","13,546",1920,2,C7,"388,389",2/27/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,389,18,,C1,200 EAST 7TH STREET,,10009,18,0,18,"2,271","10,650",1910,2,C1,"5,000,000",9/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,390,50,,C1,"209 EAST 7TH STREET, 1W",,10009,29,0,29,"3,900","18,099",1900,2,C1,0,11/30/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,391,12,,C1,610 EAST 9TH STREET,,10009,24,0,24,"2,543","11,568",1910,2,C1,0,12/17/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,393,23,,C7,632 EAST 11TH STREET,,10009,33,2,35,"4,740","19,980",1900,2,C7,"17,250,000",12/5/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,393,36,,C7,"169 AVENUE C, 3B",,10009,8,2,10,"1,909","7,437",1920,2,C7,"19,475",4/18/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,393,38,,C7,"165 AVENUE C, 5B",,10009,8,2,10,"1,916","7,485",1920,2,C7,"19,475",1/31/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,399,24,,C1,230 EAST 4TH STREET,,10009,18,0,18,"4,616","18,690",1900,2,C1,"2,583,642",7/30/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,400,17,,C4,522 EAST 5TH STREET,,10009,10,0,10,"2,348","6,812",1900,2,C4,0,10/17/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,400,49,,C1,217 EAST 4TH ST,,10009,15,0,15,"2,380","6,685",1900,2,C1,"5,200,000",11/7/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,401,15,,C5,510 EAST 6TH STREET,,10009,20,1,21,"4,845","13,854",1900,2,C5,"7,000,000",12/12/18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,402,1,,C7,94 AVENUE A,,10009,18,1,19,"2,763","9,156",1920,2,C7,"9,600,000",3/14/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,402,56,,C4,519 EAST 6TH STREET,,10009,10,0,10,"2,272","7,295",1920,2,C4,"5,250,000",6/7/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,405,5,,C1,182-184 AVENUE A,,10009,32,0,32,"4,918","15,392",1920,2,C1,"11,500,000",7/2/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13TH STREET, 4AB",,10009,14,0,14,"2,468","10,888",1900,2,C4,"2,500",6/4/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13 STREET, 2C",,10009,14,0,14,"2,468","10,888",1900,2,C4,"2,500",6/4/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,27,,C4,"544 EAST 13TH STREET, GA",,10009,14,0,14,"2,468","10,888",1900,2,C4,"102,083",1/31/19
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,406,42,,C7,543-545 EAST 12TH STREET,,10009,19,1,20,"3,622","11,951",1900,2,C7,0,9/12/18
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,372,12,,D9,278 EAST 3RD STREET,,10009,18,0,18,"5,095","26,780",1900,2,D9,"2,583,642",7/30/19
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,373,43,,D3,321 EAST 3RD STREET,,10009,30,0,30,"5,770","23,640",2014,2,D3,0,5/29/19
